Column2,Column3,Column4
PORTRAY,SHOW,1
PRESCRIPTION,PILL,1
PARCEL,BOX,1
CANYON,MOUNTAIN,1
LATIN,FRENCH,1
STERN,BOAT,1
DRACULA,SCARY,1
ROBIN,RED,1
WELL,DONE,1
INTRODUCE,PRESENT,1
GLIDE,HANG,1
ORDER,FORM,1
COURAGEOUS,LION,1
HONEYMOON,ROMANCE,1
LAUNDRY,SOAP,1
MEASUREMENT,HEIGHT,1
DANCER,MUSIC,1
FUGITIVE,RUN,1
CHIMNEY,BRICK,1
EYES,COLOR,1
CRUNCH,NOISE,1
EMPIRE,STATE,1
SAIL,OCEAN,1
TEA,LEAVES,1
SIDE,ORDER,1
DIAMETER,LENGTH,1
CHUNK,BLOCK,1
SAFARI,DESERT,1
ELEVATOR,BUILDING,1
SWING,TREE,1
TASTY,TREAT,2
NITROGEN,CHEMISTRY,2
MODEL,CAR,2
FILTHY,DIRT,2
CRITIC,ANALYZE,2
HUT,ISLAND,2
FREEWAY,ROAD,2
ASSISTANCE,HELPER,2
SALES,CLOTHES,2
ANCESTOR,FAMILY,2
BISCUIT,COOKIE,2
LIE,STEAL,2
BLOCKADE,WALL,2
HOTEL,BED,2
USURP,TAKE,2
NOODLES,CHICKEN,2
EVICT,APARTMENT,2
COOKOUT,HAMBURGER,2
UNCOMMON,UNIQUE,2
NATURE,FOREST,2
THEOREM,GEOMETRY,2
VISIT,LEAVE,2
ANNUAL,PICNIC,2
SINK,HOLE,2
STAR,NIGHT,2
GRADUATE,CAP,2
SOUTH,WEST,2
VALLEY,LOW,2
BATTERY,RADIO,2
ENERGY,SUN,2
